sensitivity_tag,policy,h3_resolution,corridor_k_ring,corridor_densify_step_m,diagnostic_note,domain,density_pct,matching_window_min,max_detour_min,batch_seconds,scenario_name,driver_sample_size,n_seeds,launched_drivers,total_profit,profit_per_launched_driver,served_riders,rider_service_rate,mean_wait_min,mean_matched_riders_per_driver,seat_occupancy,mean_detour_min,mean_eval_time_s,mean_batch_runtime_s
coarse_h3r8_k1_d80,coldstart,8,1,80.0,Coarser cells test whether corridor precision matters.,yellow,10,5,4.0,60,dispatch_corridor_coarse_h3r8_k1_d80,50,1,50.0,-382.8772689425479,-7.657545378850958,13.0,4.711288609916175e-05,2.2910256410256413,0.26,0.1,2.5641090771401265,0.038107361998409035,0.07856493798783049
coarse_h3r8_k1_d80,heuristic_feasible_count,8,1,80.0,Coarser cells test whether corridor precision matters.,yellow,10,5,4.0,60,dispatch_corridor_coarse_h3r8_k1_d80,50,1,50.0,-348.6922564529559,-6.973845129059118,21.0,7.61054313909536e-05,2.1563492063492067,0.42,0.16666666666666666,2.226442077989227,0.03803192799212411,0.07803963000420482
coarse_h3r8_k1_d80,oracle,8,1,80.0,Coarser cells test whether corridor precision matters.,yellow,10,5,4.0,60,dispatch_corridor_coarse_h3r8_k1_d80,50,1,50.0,-346.2224396336387,-6.9244487926727745,21.0,7.61054313909536e-05,2.1563492063492067,0.42,0.16666666666666666,2.226442077989227,0.03745362600311637,0.0770773379993625
primary_h3r9_k1_d80,coldstart,9,1,80.0,Primary manuscript corridor setting.,yellow,10,5,4.0,60,dispatch_corridor_primary_h3r9_k1_d80,50,1,50.0,-408.6272689425479,-8.172545378850959,8.0,2.899254529179185e-05,2.4499999999999997,0.16,0.05333333333333334,2.0367084334894114,0.0409249360114336,0.0920353820035234
primary_h3r9_k1_d80,heuristic_feasible_count,9,1,80.0,Primary manuscript corridor setting.,yellow,10,5,4.0,60,dispatch_corridor_primary_h3r9_k1_d80,50,1,50.0,-378.6922564529559,-7.573845129059118,15.0,5.436102242210972e-05,2.2277777777777783,0.3,0.11333333333333333,1.749310425758311,0.03907886000582948,0.08132186200702562
primary_h3r9_k1_d80,oracle,9,1,80.0,Primary manuscript corridor setting.,yellow,10,5,4.0,60,dispatch_corridor_primary_h3r9_k1_d80,50,1,50.0,-375.80974188176526,-7.516194837635306,15.0,5.436102242210972e-05,2.2277777777777783,0.3,0.11333333333333333,1.749310425758311,0.03808740200242028,0.07876389999873937
sparse_h3r9_k1_d160,coldstart,9,1,160.0,Less dense route sampling tests densification sensitivity.,yellow,10,5,4.0,60,dispatch_corridor_sparse_h3r9_k1_d160,50,1,50.0,-408.6272689425479,-8.172545378850959,8.0,2.899254529179185e-05,2.4499999999999997,0.16,0.05333333333333334,2.0367084334894114,0.037670844001695514,0.07761171000776812
sparse_h3r9_k1_d160,heuristic_feasible_count,9,1,160.0,Less dense route sampling tests densification sensitivity.,yellow,10,5,4.0,60,dispatch_corridor_sparse_h3r9_k1_d160,50,1,50.0,-378.6922564529559,-7.573845129059118,15.0,5.436102242210972e-05,2.2277777777777783,0.3,0.11333333333333333,1.749310425758311,0.03528035600204021,0.07365797200938687
sparse_h3r9_k1_d160,oracle,9,1,160.0,Less dense route sampling tests densification sensitivity.,yellow,10,5,4.0,60,dispatch_corridor_sparse_h3r9_k1_d160,50,1,50.0,-375.80974188176526,-7.516194837635306,15.0,5.436102242210972e-05,2.2277777777777783,0.3,0.11333333333333333,1.749310425758311,0.03680274800164625,0.07553567999741062
wide_h3r9_k2_d80,coldstart,9,2,80.0,Wider corridor tests candidate-pool expansion.,yellow,10,5,4.0,60,dispatch_corridor_wide_h3r9_k2_d80,50,1,50.0,-393.3772689425479,-7.867545378850958,12.0,4.348881793768777e-05,2.0500000000000003,0.24,0.08666666666666667,2.3435961942654173,0.03857701200991869,0.07988078599330038
wide_h3r9_k2_d80,heuristic_feasible_count,9,2,80.0,Wider corridor tests candidate-pool expansion.,yellow,10,5,4.0,60,dispatch_corridor_wide_h3r9_k2_d80,50,1,50.0,-359.1922564529559,-7.183845129059119,20.0,7.248136322947962e-05,2.005,0.4,0.15333333333333332,2.0772509983068574,0.03960652799578383,0.08194626399315894
wide_h3r9_k2_d80,oracle,9,2,80.0,Wider corridor tests candidate-pool expansion.,yellow,10,5,4.0,60,dispatch_corridor_wide_h3r9_k2_d80,50,1,50.0,-356.7224396336387,-7.134448792672774,20.0,7.248136322947962e-05,2.005,0.4,0.15333333333333332,2.0772509983068574,0.044626731991302224,0.09034159601433203
