domain,scenario_name,density_pct,comparison,better_policy,baseline_policy,delta_profit_per_driver,delta_ci_low_conservative,delta_ci_high_conservative,n_seeds,driver_sample_size,uncertainty_note
yellow,primary_dispatch_d10_w5_det4,10,warmup_vs_coldstart,warmup,coldstart,0.9299999999999997,0.9299999999999997,0.9299999999999997,5,1000,Seed-level intervals are computed from dispatch summary artifacts. They collapse here because fixed retained-rider samples make the simulator nearly deterministic; raw driver-level dispatch outcomes are not bundled in this local package.
yellow,primary_dispatch_d10_w5_det4,10,best_heuristic_vs_coldstart,heuristic_feasible_count,coldstart,0.7800000000000002,0.7800000000000002,0.7800000000000002,5,1000,Seed-level intervals are computed from dispatch summary artifacts. They collapse here because fixed retained-rider samples make the simulator nearly deterministic; raw driver-level dispatch outcomes are not bundled in this local package.
yellow,primary_dispatch_d10_w5_det4,10,warmup_vs_best_heuristic,warmup,heuristic_feasible_count,0.14999999999999947,0.14999999999999947,0.14999999999999947,5,1000,Seed-level intervals are computed from dispatch summary artifacts. They collapse here because fixed retained-rider samples make the simulator nearly deterministic; raw driver-level dispatch outcomes are not bundled in this local package.
yellow,primary_dispatch_d10_w5_det4,10,oracle_vs_warmup,oracle,warmup,0.13000000000000078,0.13000000000000078,0.13000000000000078,5,1000,Seed-level intervals are computed from dispatch summary artifacts. They collapse here because fixed retained-rider samples make the simulator nearly deterministic; raw driver-level dispatch outcomes are not bundled in this local package.
yellow,primary_dispatch_d10_w5_det4,10,oracle_vs_coldstart,oracle,coldstart,1.0600000000000005,1.0600000000000005,1.0600000000000005,5,1000,Seed-level intervals are computed from dispatch summary artifacts. They collapse here because fixed retained-rider samples make the simulator nearly deterministic; raw driver-level dispatch outcomes are not bundled in this local package.
green,primary_dispatch_d10_w5_det4,10,warmup_vs_coldstart,warmup,coldstart,0.39000000000000057,0.39000000000000057,0.39000000000000057,5,1000,Seed-level intervals are computed from dispatch summary artifacts. They collapse here because fixed retained-rider samples make the simulator nearly deterministic; raw driver-level dispatch outcomes are not bundled in this local package.
green,primary_dispatch_d10_w5_det4,10,best_heuristic_vs_coldstart,heuristic_feasible_count,coldstart,0.1200000000000001,0.1200000000000001,0.1200000000000001,5,1000,Seed-level intervals are computed from dispatch summary artifacts. They collapse here because fixed retained-rider samples make the simulator nearly deterministic; raw driver-level dispatch outcomes are not bundled in this local package.
green,primary_dispatch_d10_w5_det4,10,warmup_vs_best_heuristic,warmup,heuristic_feasible_count,0.27000000000000046,0.27000000000000046,0.27000000000000046,5,1000,Seed-level intervals are computed from dispatch summary artifacts. They collapse here because fixed retained-rider samples make the simulator nearly deterministic; raw driver-level dispatch outcomes are not bundled in this local package.
green,primary_dispatch_d10_w5_det4,10,oracle_vs_warmup,oracle,warmup,0.019999999999999574,0.019999999999999574,0.019999999999999574,5,1000,Seed-level intervals are computed from dispatch summary artifacts. They collapse here because fixed retained-rider samples make the simulator nearly deterministic; raw driver-level dispatch outcomes are not bundled in this local package.
green,primary_dispatch_d10_w5_det4,10,oracle_vs_coldstart,oracle,coldstart,0.41000000000000014,0.41000000000000014,0.41000000000000014,5,1000,Seed-level intervals are computed from dispatch summary artifacts. They collapse here because fixed retained-rider samples make the simulator nearly deterministic; raw driver-level dispatch outcomes are not bundled in this local package.
