source,domain,scenario_name,density_pct,policy,metric,mean,ci_low,ci_high,ci_width,interval_collapsed,n_seeds
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,coldstart,profit_per_launched_driver,-8.08,-8.08,-8.08,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,coldstart,served_riders,160.0,160.0,160.0,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,coldstart,rider_service_rate,0.041,0.041,0.041,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,coldstart,mean_wait_min,2.51,2.51,2.51,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,coldstart,mean_matched_riders_per_driver,0.16,0.16,0.16,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,coldstart,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,coldstart,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_count,profit_per_launched_driver,-7.45,-7.45,-7.45,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_count,served_riders,270.0,270.0,270.0,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_count,rider_service_rate,0.069,0.069,0.069,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_count,mean_wait_min,2.53,2.53,2.53,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_count,mean_matched_riders_per_driver,0.27,0.27,0.27,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_count,mean_eval_time_s,0.0174,0.0174,0.0174,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_count,mean_batch_runtime_s,0.037,0.037,0.037,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_fare_density,profit_per_launched_driver,-7.37,-7.37,-7.37,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_fare_density,served_riders,280.0,280.0,280.0,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_fare_density,rider_service_rate,0.071,0.071,0.071,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_fare_density,mean_wait_min,2.53,2.53,2.53,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_fare_density,mean_matched_riders_per_driver,0.28,0.28,0.28,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_fare_density,mean_eval_time_s,0.0174,0.0174,0.0174,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_fare_density,mean_batch_runtime_s,0.0371,0.0371,0.0371,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_feasible_count,profit_per_launched_driver,-7.3,-7.3,-7.3,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_feasible_count,served_riders,290.0,290.0,290.0,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_feasible_count,rider_service_rate,0.074,0.074,0.074,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_feasible_count,mean_wait_min,2.52,2.52,2.52,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_feasible_count,mean_matched_riders_per_driver,0.29,0.29,0.29,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_feasible_count,mean_eval_time_s,0.0174,0.0174,0.0174,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_feasible_count,mean_batch_runtime_s,0.0371,0.0371,0.0371,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_profit_proxy,profit_per_launched_driver,-7.51,-7.51,-7.51,0.0,True,5
primary_yellow_green,yellow,primary_dispatch_d10_w5_det4,10,heuristic_profit_proxy,served_riders,260.0,260.0,260.0,0.0,True,5
