driver_id,route_idx,eligibility_rule,exact_time_candidates,feasible_after_detour_seat
0,0,pickup_only,45,
0,0,dropoff_only,33,
0,0,pickup_and_dropoff,5,2
0,1,pickup_only,50,
0,1,dropoff_only,34,
0,1,pickup_and_dropoff,5,1
1,0,pickup_only,22,
1,0,dropoff_only,15,
1,0,pickup_and_dropoff,2,0
1,1,pickup_only,20,
1,1,dropoff_only,17,
1,1,pickup_and_dropoff,2,1
2,0,pickup_only,2,
2,0,dropoff_only,4,
2,0,pickup_and_dropoff,0,0
2,1,pickup_only,2,
2,1,dropoff_only,4,
2,1,pickup_and_dropoff,0,0
3,0,pickup_only,18,
3,0,dropoff_only,37,
3,0,pickup_and_dropoff,3,1
3,1,pickup_only,0,
3,1,dropoff_only,7,
3,1,pickup_and_dropoff,0,0
4,0,pickup_only,156,
4,0,dropoff_only,136,
4,0,pickup_and_dropoff,34,16
4,1,pickup_only,147,
4,1,dropoff_only,117,
4,1,pickup_and_dropoff,32,10
5,0,pickup_only,53,
5,0,dropoff_only,61,
5,0,pickup_and_dropoff,8,1
5,1,pickup_only,53,
5,1,dropoff_only,60,
5,1,pickup_and_dropoff,8,1
6,0,pickup_only,95,
6,0,dropoff_only,78,
6,0,pickup_and_dropoff,10,4
6,1,pickup_only,92,
6,1,dropoff_only,67,
6,1,pickup_and_dropoff,10,2
7,0,pickup_only,5,
7,0,dropoff_only,10,
7,0,pickup_and_dropoff,1,1
7,1,pickup_only,5,
7,1,dropoff_only,8,
7,1,pickup_and_dropoff,1,0
8,0,pickup_only,41,
8,0,dropoff_only,53,
8,0,pickup_and_dropoff,8,2
8,1,pickup_only,62,
8,1,dropoff_only,71,
8,1,pickup_and_dropoff,16,9
9,0,pickup_only,3,
9,0,dropoff_only,1,
9,0,pickup_and_dropoff,0,0
9,1,pickup_only,5,
9,1,dropoff_only,6,
9,1,pickup_and_dropoff,0,0
10,0,pickup_only,114,
10,0,dropoff_only,106,
10,0,pickup_and_dropoff,14,4
10,1,pickup_only,143,
10,1,dropoff_only,151,
10,1,pickup_and_dropoff,19,9
11,0,pickup_only,62,
11,0,dropoff_only,61,
11,0,pickup_and_dropoff,3,0
11,1,pickup_only,65,
11,1,dropoff_only,64,
11,1,pickup_and_dropoff,5,0
12,0,pickup_only,1,
12,0,dropoff_only,1,
12,0,pickup_and_dropoff,1,1
12,1,pickup_only,1,
12,1,dropoff_only,1,
12,1,pickup_and_dropoff,1,1
13,0,pickup_only,77,
13,0,dropoff_only,44,
13,0,pickup_and_dropoff,10,3
13,1,pickup_only,93,
13,1,dropoff_only,69,
13,1,pickup_and_dropoff,14,7
14,0,pickup_only,22,
14,0,dropoff_only,25,
14,0,pickup_and_dropoff,2,0
14,1,pickup_only,18,
14,1,dropoff_only,17,
14,1,pickup_and_dropoff,1,0
15,0,pickup_only,2,
15,0,dropoff_only,5,
15,0,pickup_and_dropoff,2,2
15,1,pickup_only,2,
15,1,dropoff_only,3,
15,1,pickup_and_dropoff,1,0
16,0,pickup_only,89,
16,0,dropoff_only,58,
16,0,pickup_and_dropoff,8,0
16,1,pickup_only,99,
16,1,dropoff_only,87,
16,1,pickup_and_dropoff,14,1
17,0,pickup_only,149,
17,0,dropoff_only,185,
17,0,pickup_and_dropoff,32,4
17,1,pickup_only,86,
17,1,dropoff_only,108,
17,1,pickup_and_dropoff,19,3
18,0,pickup_only,116,
18,0,dropoff_only,119,
18,0,pickup_and_dropoff,25,0
18,1,pickup_only,128,
18,1,dropoff_only,138,
18,1,pickup_and_dropoff,32,0
19,0,pickup_only,78,
19,0,dropoff_only,54,
19,0,pickup_and_dropoff,9,0
19,1,pickup_only,137,
19,1,dropoff_only,125,
19,1,pickup_and_dropoff,33,4
20,0,pickup_only,10,
20,0,dropoff_only,8,
20,0,pickup_and_dropoff,0,0
20,1,pickup_only,45,
20,1,dropoff_only,27,
20,1,pickup_and_dropoff,11,1
21,0,pickup_only,126,
21,0,dropoff_only,109,
21,0,pickup_and_dropoff,24,9
21,1,pickup_only,44,
21,1,dropoff_only,33,
21,1,pickup_and_dropoff,7,3
22,0,pickup_only,184,
22,0,dropoff_only,129,
22,0,pickup_and_dropoff,32,12
22,1,pickup_only,186,
22,1,dropoff_only,135,
22,1,pickup_and_dropoff,34,13
23,0,pickup_only,11,
23,0,dropoff_only,5,
23,0,pickup_and_dropoff,1,0
23,1,pickup_only,9,
23,1,dropoff_only,5,
23,1,pickup_and_dropoff,0,0
24,0,pickup_only,106,
24,0,dropoff_only,113,
24,0,pickup_and_dropoff,14,5
24,1,pickup_only,107,
24,1,dropoff_only,110,
24,1,pickup_and_dropoff,16,6
25,0,pickup_only,148,
25,0,dropoff_only,160,
25,0,pickup_and_dropoff,33,8
25,1,pickup_only,162,
25,1,dropoff_only,166,
25,1,pickup_and_dropoff,39,10
26,0,pickup_only,10,
26,0,dropoff_only,10,
26,0,pickup_and_dropoff,1,1
26,1,pickup_only,21,
26,1,dropoff_only,25,
26,1,pickup_and_dropoff,2,2
27,0,pickup_only,49,
27,0,dropoff_only,44,
27,0,pickup_and_dropoff,6,4
27,1,pickup_only,90,
27,1,dropoff_only,73,
27,1,pickup_and_dropoff,28,9
28,0,pickup_only,54,
28,0,dropoff_only,59,
28,0,pickup_and_dropoff,3,0
28,1,pickup_only,179,
28,1,dropoff_only,178,
28,1,pickup_and_dropoff,45,7
29,0,pickup_only,100,
29,0,dropoff_only,92,
29,0,pickup_and_dropoff,13,7
29,1,pickup_only,102,
29,1,dropoff_only,90,
29,1,pickup_and_dropoff,13,7
30,0,pickup_only,87,
30,0,dropoff_only,107,
30,0,pickup_and_dropoff,16,11
30,1,pickup_only,144,
30,1,dropoff_only,122,
30,1,pickup_and_dropoff,32,16
31,0,pickup_only,5,
31,0,dropoff_only,20,
31,0,pickup_and_dropoff,1,0
31,1,pickup_only,3,
31,1,dropoff_only,20,
31,1,pickup_and_dropoff,0,0
32,0,pickup_only,44,
32,0,dropoff_only,60,
32,0,pickup_and_dropoff,9,5
32,1,pickup_only,49,
32,1,dropoff_only,55,
32,1,pickup_and_dropoff,7,0
33,0,pickup_only,44,
33,0,dropoff_only,51,
33,0,pickup_and_dropoff,10,1
33,1,pickup_only,44,
33,1,dropoff_only,51,
33,1,pickup_and_dropoff,10,2
34,0,pickup_only,155,
34,0,dropoff_only,137,
34,0,pickup_and_dropoff,21,6
34,1,pickup_only,178,
34,1,dropoff_only,138,
34,1,pickup_and_dropoff,23,8
35,0,pickup_only,62,
35,0,dropoff_only,56,
35,0,pickup_and_dropoff,8,1
35,1,pickup_only,61,
35,1,dropoff_only,57,
35,1,pickup_and_dropoff,8,1
36,0,pickup_only,127,
36,0,dropoff_only,106,
36,0,pickup_and_dropoff,20,7
36,1,pickup_only,128,
36,1,dropoff_only,106,
36,1,pickup_and_dropoff,20,7
37,0,pickup_only,157,
37,0,dropoff_only,90,
37,0,pickup_and_dropoff,23,9
37,1,pickup_only,156,
37,1,dropoff_only,91,
37,1,pickup_and_dropoff,22,9
38,0,pickup_only,10,
38,0,dropoff_only,9,
38,0,pickup_and_dropoff,1,0
38,1,pickup_only,9,
38,1,dropoff_only,7,
38,1,pickup_and_dropoff,1,0
39,0,pickup_only,147,
39,0,dropoff_only,130,
39,0,pickup_and_dropoff,27,10
39,1,pickup_only,262,
39,1,dropoff_only,168,
39,1,pickup_and_dropoff,52,17
40,0,pickup_only,2,
40,0,dropoff_only,3,
40,0,pickup_and_dropoff,1,1
40,1,pickup_only,1,
40,1,dropoff_only,2,
40,1,pickup_and_dropoff,0,0
41,0,pickup_only,84,
41,0,dropoff_only,69,
41,0,pickup_and_dropoff,17,5
41,1,pickup_only,84,
41,1,dropoff_only,69,
41,1,pickup_and_dropoff,17,4
42,0,pickup_only,96,
42,0,dropoff_only,107,
42,0,pickup_and_dropoff,13,2
42,1,pickup_only,107,
42,1,dropoff_only,110,
42,1,pickup_and_dropoff,16,3
43,0,pickup_only,129,
43,0,dropoff_only,78,
43,0,pickup_and_dropoff,13,3
43,1,pickup_only,112,
43,1,dropoff_only,95,
43,1,pickup_and_dropoff,22,7
44,0,pickup_only,79,
44,0,dropoff_only,76,
44,0,pickup_and_dropoff,12,4
44,1,pickup_only,79,
44,1,dropoff_only,78,
44,1,pickup_and_dropoff,13,5
45,0,pickup_only,52,
45,0,dropoff_only,78,
45,0,pickup_and_dropoff,5,1
45,1,pickup_only,53,
45,1,dropoff_only,76,
45,1,pickup_and_dropoff,5,1
46,0,pickup_only,110,
46,0,dropoff_only,105,
46,0,pickup_and_dropoff,8,3
46,1,pickup_only,123,
46,1,dropoff_only,110,
46,1,pickup_and_dropoff,10,2
47,0,pickup_only,83,
47,0,dropoff_only,88,
47,0,pickup_and_dropoff,15,5
47,1,pickup_only,83,
47,1,dropoff_only,89,
47,1,pickup_and_dropoff,15,4
48,0,pickup_only,59,
48,0,dropoff_only,51,
48,0,pickup_and_dropoff,5,0
48,1,pickup_only,70,
48,1,dropoff_only,59,
48,1,pickup_and_dropoff,8,2
49,0,pickup_only,101,
49,0,dropoff_only,96,
49,0,pickup_and_dropoff,27,6
49,1,pickup_only,88,
49,1,dropoff_only,74,
49,1,pickup_and_dropoff,17,8
50,0,pickup_only,95,
50,0,dropoff_only,80,
50,0,pickup_and_dropoff,5,1
50,1,pickup_only,95,
50,1,dropoff_only,83,
50,1,pickup_and_dropoff,5,1
51,0,pickup_only,102,
51,0,dropoff_only,108,
51,0,pickup_and_dropoff,20,5
51,1,pickup_only,115,
51,1,dropoff_only,118,
51,1,pickup_and_dropoff,25,4
52,0,pickup_only,114,
52,0,dropoff_only,139,
52,0,pickup_and_dropoff,20,6
52,1,pickup_only,114,
52,1,dropoff_only,139,
52,1,pickup_and_dropoff,20,6
53,0,pickup_only,167,
53,0,dropoff_only,142,
53,0,pickup_and_dropoff,42,16
53,1,pickup_only,242,
53,1,dropoff_only,298,
53,1,pickup_and_dropoff,95,40
54,0,pickup_only,44,
54,0,dropoff_only,45,
54,0,pickup_and_dropoff,5,0
54,1,pickup_only,33,
54,1,dropoff_only,26,
54,1,pickup_and_dropoff,2,0
55,0,pickup_only,161,
55,0,dropoff_only,118,
55,0,pickup_and_dropoff,33,5
55,1,pickup_only,196,
55,1,dropoff_only,116,
55,1,pickup_and_dropoff,37,8
56,0,pickup_only,48,
56,0,dropoff_only,74,
56,0,pickup_and_dropoff,9,3
56,1,pickup_only,97,
56,1,dropoff_only,100,
56,1,pickup_and_dropoff,24,12
57,0,pickup_only,213,
57,0,dropoff_only,132,
57,0,pickup_and_dropoff,46,21
57,1,pickup_only,118,
57,1,dropoff_only,75,
57,1,pickup_and_dropoff,15,3
58,0,pickup_only,120,
58,0,dropoff_only,114,
58,0,pickup_and_dropoff,32,5
58,1,pickup_only,120,
58,1,dropoff_only,114,
58,1,pickup_and_dropoff,32,5
59,0,pickup_only,157,
59,0,dropoff_only,150,
59,0,pickup_and_dropoff,32,15
59,1,pickup_only,160,
59,1,dropoff_only,155,
59,1,pickup_and_dropoff,35,16
60,0,pickup_only,111,
60,0,dropoff_only,108,
60,0,pickup_and_dropoff,17,4
60,1,pickup_only,111,
60,1,dropoff_only,110,
60,1,pickup_and_dropoff,19,4
61,0,pickup_only,80,
61,0,dropoff_only,50,
61,0,pickup_and_dropoff,7,0
61,1,pickup_only,77,
61,1,dropoff_only,48,
61,1,pickup_and_dropoff,8,0
62,0,pickup_only,27,
62,0,dropoff_only,23,
62,0,pickup_and_dropoff,3,2
62,1,pickup_only,22,
62,1,dropoff_only,20,
62,1,pickup_and_dropoff,2,2
63,0,pickup_only,19,
63,0,dropoff_only,2,
63,0,pickup_and_dropoff,1,0
63,1,pickup_only,19,
63,1,dropoff_only,2,
63,1,pickup_and_dropoff,0,0
64,0,pickup_only,90,
64,0,dropoff_only,104,
64,0,pickup_and_dropoff,22,8
64,1,pickup_only,309,
64,1,dropoff_only,274,
64,1,pickup_and_dropoff,120,47
65,0,pickup_only,3,
65,0,dropoff_only,4,
65,0,pickup_and_dropoff,1,0
65,1,pickup_only,3,
65,1,dropoff_only,6,
65,1,pickup_and_dropoff,0,0
66,0,pickup_only,79,
66,0,dropoff_only,68,
66,0,pickup_and_dropoff,4,0
66,1,pickup_only,115,
66,1,dropoff_only,105,
66,1,pickup_and_dropoff,16,5
67,0,pickup_only,111,
67,0,dropoff_only,74,
67,0,pickup_and_dropoff,14,7
67,1,pickup_only,146,
67,1,dropoff_only,123,
67,1,pickup_and_dropoff,37,16
68,0,pickup_only,124,
68,0,dropoff_only,125,
68,0,pickup_and_dropoff,15,3
68,1,pickup_only,86,
68,1,dropoff_only,54,
68,1,pickup_and_dropoff,9,1
69,0,pickup_only,227,
69,0,dropoff_only,145,
69,0,pickup_and_dropoff,36,6
69,1,pickup_only,247,
69,1,dropoff_only,148,
69,1,pickup_and_dropoff,42,7
70,0,pickup_only,15,
70,0,dropoff_only,15,
70,0,pickup_and_dropoff,0,0
70,1,pickup_only,16,
70,1,dropoff_only,20,
70,1,pickup_and_dropoff,1,1
71,0,pickup_only,2,
71,0,dropoff_only,2,
71,0,pickup_and_dropoff,0,0
71,1,pickup_only,2,
71,1,dropoff_only,2,
71,1,pickup_and_dropoff,0,0
72,0,pickup_only,142,
72,0,dropoff_only,119,
72,0,pickup_and_dropoff,20,2
72,1,pickup_only,150,
72,1,dropoff_only,132,
72,1,pickup_and_dropoff,22,2
73,0,pickup_only,17,
73,0,dropoff_only,18,
73,0,pickup_and_dropoff,0,0
73,1,pickup_only,30,
73,1,dropoff_only,18,
73,1,pickup_and_dropoff,0,0
74,0,pickup_only,104,
74,0,dropoff_only,82,
74,0,pickup_and_dropoff,11,0
74,1,pickup_only,114,
74,1,dropoff_only,86,
74,1,pickup_and_dropoff,14,2
75,0,pickup_only,1,
75,0,dropoff_only,1,
75,0,pickup_and_dropoff,0,0
75,1,pickup_only,1,
75,1,dropoff_only,1,
75,1,pickup_and_dropoff,0,0
76,0,pickup_only,33,
76,0,dropoff_only,39,
76,0,pickup_and_dropoff,4,0
76,1,pickup_only,23,
76,1,dropoff_only,18,
76,1,pickup_and_dropoff,2,1
77,0,pickup_only,1,
77,0,dropoff_only,7,
77,0,pickup_and_dropoff,0,0
77,1,pickup_only,1,
77,1,dropoff_only,4,
77,1,pickup_and_dropoff,0,0
78,0,pickup_only,10,
78,0,dropoff_only,9,
78,0,pickup_and_dropoff,1,0
78,1,pickup_only,10,
78,1,dropoff_only,9,
78,1,pickup_and_dropoff,1,0
79,0,pickup_only,58,
79,0,dropoff_only,64,
79,0,pickup_and_dropoff,12,3
79,1,pickup_only,76,
79,1,dropoff_only,65,
79,1,pickup_and_dropoff,12,3
80,0,pickup_only,32,
80,0,dropoff_only,29,
80,0,pickup_and_dropoff,3,1
80,1,pickup_only,178,
80,1,dropoff_only,147,
80,1,pickup_and_dropoff,36,5
81,0,pickup_only,20,
81,0,dropoff_only,10,
81,0,pickup_and_dropoff,3,1
81,1,pickup_only,17,
81,1,dropoff_only,23,
81,1,pickup_and_dropoff,2,2
82,0,pickup_only,74,
82,0,dropoff_only,95,
82,0,pickup_and_dropoff,15,4
82,1,pickup_only,116,
82,1,dropoff_only,125,
82,1,pickup_and_dropoff,23,9
83,0,pickup_only,176,
83,0,dropoff_only,111,
83,0,pickup_and_dropoff,27,4
83,1,pickup_only,202,
83,1,dropoff_only,120,
83,1,pickup_and_dropoff,32,4
84,0,pickup_only,2,
84,0,dropoff_only,0,
84,0,pickup_and_dropoff,0,0
84,1,pickup_only,2,
84,1,dropoff_only,0,
84,1,pickup_and_dropoff,0,0
85,0,pickup_only,62,
85,0,dropoff_only,74,
85,0,pickup_and_dropoff,9,2
85,1,pickup_only,58,
85,1,dropoff_only,73,
85,1,pickup_and_dropoff,8,2
86,0,pickup_only,118,
86,0,dropoff_only,82,
86,0,pickup_and_dropoff,24,8
86,1,pickup_only,120,
86,1,dropoff_only,124,
86,1,pickup_and_dropoff,30,15
87,0,pickup_only,106,
87,0,dropoff_only,110,
87,0,pickup_and_dropoff,10,4
87,1,pickup_only,165,
87,1,dropoff_only,146,
87,1,pickup_and_dropoff,34,14
88,0,pickup_only,17,
88,0,dropoff_only,20,
88,0,pickup_and_dropoff,1,0
88,1,pickup_only,17,
88,1,dropoff_only,20,
88,1,pickup_and_dropoff,1,0
89,0,pickup_only,100,
89,0,dropoff_only,69,
89,0,pickup_and_dropoff,10,5
89,1,pickup_only,100,
89,1,dropoff_only,71,
89,1,pickup_and_dropoff,11,5
90,0,pickup_only,46,
90,0,dropoff_only,30,
90,0,pickup_and_dropoff,1,0
90,1,pickup_only,51,
90,1,dropoff_only,35,
90,1,pickup_and_dropoff,4,1
91,0,pickup_only,175,
91,0,dropoff_only,223,
91,0,pickup_and_dropoff,55,17
91,1,pickup_only,195,
91,1,dropoff_only,185,
91,1,pickup_and_dropoff,55,8
92,0,pickup_only,77,
92,0,dropoff_only,95,
92,0,pickup_and_dropoff,15,8
92,1,pickup_only,117,
92,1,dropoff_only,144,
92,1,pickup_and_dropoff,23,9
