driver_id,route_idx,feasible_count,greedy_revenue,optimal_revenue,greedy_minus_optimal,greedy_matched,optimal_matched
0,0,2,9.0,9.0,0.0,2,2
0,1,1,6.25,6.25,0.0,1,1
1,0,0,0.0,0.0,0.0,0,0
1,1,1,2.5,2.5,0.0,1,1
2,0,0,0.0,0.0,0.0,0,0
2,1,0,0.0,0.0,0.0,0,0
3,0,1,6.5,6.5,0.0,1,1
3,1,0,0.0,0.0,0.0,0,0
4,0,16,55.75,55.75,0.0,3,3
4,1,10,36.75,36.75,0.0,3,3
5,0,1,3.0,3.0,0.0,1,1
5,1,1,3.0,3.0,0.0,1,1
6,0,4,10.25,10.25,0.0,3,3
6,1,2,11.5,11.5,0.0,2,2
7,0,1,7.75,7.75,0.0,1,1
7,1,0,0.0,0.0,0.0,0,0
8,0,2,26.0,26.0,0.0,2,2
8,1,9,23.0,23.0,0.0,3,3
9,0,0,0.0,0.0,0.0,0,0
9,1,0,0.0,0.0,0.0,0,0
10,0,4,18.75,18.75,0.0,3,3
10,1,9,16.25,16.25,0.0,3,3
11,0,0,0.0,0.0,0.0,0,0
11,1,0,0.0,0.0,0.0,0,0
12,0,1,6.5,6.5,0.0,1,1
12,1,1,6.5,6.5,0.0,1,1
13,0,3,10.0,10.0,0.0,3,3
13,1,7,15.5,15.5,0.0,3,3
14,0,0,0.0,0.0,0.0,0,0
14,1,0,0.0,0.0,0.0,0,0
15,0,2,11.0,11.0,0.0,2,2
15,1,0,0.0,0.0,0.0,0,0
16,0,0,0.0,0.0,0.0,0,0
16,1,1,3.0,3.0,0.0,1,1
17,0,4,16.75,16.75,0.0,3,3
17,1,3,10.75,10.75,0.0,3,3
18,0,0,0.0,0.0,0.0,0,0
18,1,0,0.0,0.0,0.0,0,0
19,0,0,0.0,0.0,0.0,0,0
19,1,4,14.5,14.5,0.0,3,3
20,0,0,0.0,0.0,0.0,0,0
20,1,1,3.75,3.75,0.0,1,1
21,0,9,32.5,32.5,0.0,2,2
21,1,3,12.25,12.25,0.0,3,3
22,0,12,27.5,27.5,0.0,2,2
22,1,13,27.5,27.5,0.0,2,2
23,0,0,0.0,0.0,0.0,0,0
23,1,0,0.0,0.0,0.0,0,0
24,0,5,13.5,26.5,-13.0,1,2
24,1,6,26.5,26.5,0.0,2,2
25,0,8,17.75,17.75,0.0,3,3
25,1,10,34.75,34.75,0.0,3,3
26,0,1,6.75,6.75,0.0,1,1
26,1,2,9.0,9.0,0.0,1,1
27,0,4,10.25,10.25,0.0,3,3
27,1,9,14.75,14.75,0.0,2,2
28,0,0,0.0,0.0,0.0,0,0
28,1,7,11.75,11.75,0.0,3,3
29,0,7,23.25,26.0,-2.75,2,3
29,1,7,23.25,26.0,-2.75,2,3
30,0,11,27.25,27.25,0.0,3,3
30,1,16,28.75,28.75,0.0,3,3
31,0,0,0.0,0.0,0.0,0,0
31,1,0,0.0,0.0,0.0,0,0
32,0,5,18.5,18.5,0.0,3,3
32,1,0,0.0,0.0,0.0,0,0
33,0,1,8.25,8.25,0.0,1,1
33,1,2,10.75,10.75,0.0,2,2
34,0,6,16.25,16.25,0.0,3,3
34,1,8,30.25,30.25,0.0,3,3
35,0,1,3.75,3.75,0.0,1,1
35,1,1,3.75,3.75,0.0,1,1
36,0,7,48.5,48.5,0.0,3,3
36,1,7,48.5,48.5,0.0,3,3
37,0,9,23.0,23.0,0.0,3,3
37,1,9,21.5,21.5,0.0,3,3
38,0,0,0.0,0.0,0.0,0,0
38,1,0,0.0,0.0,0.0,0,0
39,0,10,29.0,29.0,0.0,3,3
39,1,17,23.75,23.75,0.0,3,3
40,0,1,14.5,14.5,0.0,1,1
40,1,0,0.0,0.0,0.0,0,0
41,0,5,10.75,10.75,0.0,3,3
41,1,4,10.75,10.75,0.0,3,3
42,0,2,9.75,9.75,0.0,2,2
42,1,3,39.75,39.75,0.0,3,3
43,0,3,11.75,11.75,0.0,2,2
43,1,7,11.75,15.0,-3.25,2,3
44,0,4,10.0,10.0,0.0,3,3
44,1,5,12.25,12.25,0.0,3,3
45,0,1,4.0,4.0,0.0,1,1
45,1,1,4.0,4.0,0.0,1,1
46,0,3,20.5,20.5,0.0,3,3
46,1,2,7.25,7.25,0.0,2,2
47,0,5,22.5,22.5,0.0,3,3
47,1,4,22.5,22.5,0.0,3,3
48,0,0,0.0,0.0,0.0,0,0
48,1,2,17.0,17.0,0.0,1,1
49,0,6,23.25,23.25,0.0,3,3
49,1,8,28.5,28.5,0.0,3,3
50,0,1,4.0,4.0,0.0,1,1
50,1,1,4.0,4.0,0.0,1,1
51,0,5,9.75,9.75,0.0,3,3
51,1,4,21.0,21.0,0.0,3,3
52,0,6,20.25,20.25,0.0,3,3
52,1,6,20.25,20.25,0.0,3,3
53,0,16,29.0,29.0,0.0,3,3
53,1,40,45.75,45.75,0.0,3,3
54,0,0,0.0,0.0,0.0,0,0
54,1,0,0.0,0.0,0.0,0,0
55,0,5,8.5,8.5,0.0,2,2
55,1,8,29.5,29.5,0.0,3,3
56,0,3,18.0,18.0,0.0,3,3
